_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,powerLevel,generic,deleted
116,"ksc","Other Rifle","","","その他のライフル","","",2,2,2,true,
117,"ksc","Other Rifle","","","その他のライフル","","",2,4,2,true,
118,"ksc","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
119,"ksc","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
120,"ksc","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
121,"ksc","Other SMG","","","その他のSMG","","",8,1,2,true,
122,"ksc","Other SMG","","","その他のSMG","","",8,2,2,true,
123,"ksc","Other SMG","","","その他のSMG","","",8,4,2,true,

125,"tanaka","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
126,"tanaka","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
127,"tanaka","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
128,"tanaka","Other Rifle","","","その他のライフル","","",2,1,0,true,
129,"tanaka","Other Rifle","","","その他のライフル","","",2,2,0,true,
130,"tanaka","Other Rifle","","","その他のライフル","","",2,4,0,true,
131,"tanaka","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
132,"tanaka","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
133,"tanaka","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
134,"tanaka","Other SMG","","","その他のSMG","","",8,1,0,true,
135,"tanaka","Other SMG","","","その他のSMG","","",8,2,0,true,
136,"tanaka","Other SMG","","","その他のSMG","","",8,4,0,true,
137,"tanaka","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
138,"tanaka","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
139,"tanaka","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
140,"tanaka","Other Rifle","","","その他のライフル","","",2,1,2,true,
141,"tanaka","Other Rifle","","","その他のライフル","","",2,2,2,true,
142,"tanaka","Other Rifle","","","その他のライフル","","",2,4,2,true,
143,"tanaka","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
144,"tanaka","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
145,"tanaka","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
146,"tanaka","Other SMG","","","その他のSMG","","",8,1,2,true,
147,"tanaka","Other SMG","","","その他のSMG","","",8,2,2,true,
148,"tanaka","Other SMG","","","その他のSMG","","",8,4,2,true,

150,"vfc","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
151,"vfc","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
152,"vfc","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
153,"vfc","Other Rifle","","","その他のライフル","","",2,1,0,true,
154,"vfc","Other Rifle","","","その他のライフル","","",2,2,0,true,
155,"vfc","Other Rifle","","","その他のライフル","","",2,4,0,true,
156,"vfc","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
157,"vfc","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
158,"vfc","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
159,"vfc","Other SMG","","","その他のSMG","","",8,1,0,true,
160,"vfc","Other SMG","","","その他のSMG","","",8,2,0,true,
161,"vfc","Other SMG","","","その他のSMG","","",8,4,0,true,
162,"vfc","Other Handgun","","","その他のハンドガン","","",1,1,1,true,
163,"vfc","Other Handgun","","","その他のハンドガン","","",1,2,1,true,
