_id,type,name,description,url,nameJa,descriptionJa,urlJa,range100x,unitOfRange,virtualTargetName,positionsMask,gunTypesMask,sightTypesMask,numOfShots,duration,numOfStages,nextId
1,"","5m Slow Fire Freestyle","5m (5.47yds), 10 shots in 4 min. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","5m 精密射撃 フリースタイル","5m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",500,0,"",0,0,0,10,240,1,2
2,"","5m Timed Fire Freestyle","5m (5.47yds), 5 shots in 20 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","5m 速射20秒 フリースタイル","5m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",500,0,"",0,0,0,5,20,2,3
3,"","5m Rapid Fire Freestyle","5m (5.47yds), 5 shots in 10 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","5m 速射10秒 フリースタイル","5m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",500,0,"",0,0,0,5,10,2,0
11,"","10m Slow Fire Freestyle","10m (10.94yds), 10 shots in 4 min. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","10m 精密射撃 フリースタイル","10m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1000,0,"",0,0,0,10,240,1,12
12,"","10m Timed Fire Freestyle","10m (10.94yds), 5 shots in 20 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","10m 速射20秒 フリースタイル","10m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1000,0,"",0,0,0,5,20,2,13
13,"","10m Rapid Fire Freestyle","10m (10.94yds), 5 shots in 10 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","10m 速射10秒 フリースタイル","10m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1000,0,"",0,0,0,5,10,2,0
21,"","15m Slow Fire Freestyle","15m (16.40yds), 10 shots in 4 min. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","15m 精密射撃 フリースタイル","15m, 10発/4分。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1500,0,"",0,0,0,10,240,1,22
22,"","15m Timed Fire Freestyle","15m (16.40yds), 5 shots in 20 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","15m 速射20秒 フリースタイル","15m, 5発/20秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1500,0,"",0,0,0,5,20,2,23
23,"","15m Rapid Fire Freestyle","15m (16.40yds), 5 shots in 10 sec x 2 stages. Any type of guns, sights, and firing positions are allowed. Aiming allowed before the start signal.","/docs/competition-rules/freestyle","15m 速射10秒 フリースタイル","15m, 5発/10秒 x 2ステージ。銃の種類・サイト・射撃姿勢、いずれも制限なし。開始合図の前に照準可。","",1500,0,"",0,0,0,5,10,2,0
51,"nra_onestring","5 yard Slow Fire Precision Pistol","5yds (4.57m), 10 shots in 10 min. Handgun only; any sights except laser pointers are allowed. Standing position, with the gun held in one hand only. Quarter-sized B-6 target. Aiming allowed before the start signal.","/docs/competition-rules/precision-pistol","5ヤード 精密射撃 Precision Pistol","5ヤード(4.57m), 10発/10分。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。開始合図の前に照準可。1/4サイズのB-6ターゲット。","",500,1,"nra_b6",1,1,23,10,600,1,52
52,"nra","5 yard Timed Fire Precision Pistol","5yds (4.57m), 5 shots in 20 sec x 2 strings. Handgun only; any sights except laser pointers are allowed. Standing position, with the gun held in one hand only. Quarter-sized B-8 target. Aiming allowed before the start signal.","/docs/competition-rules/precision-pistol","5ヤード 速射20秒 Precision Pistol","5ヤード(4.57m), 5発/20秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。開始合図の前に照準可。1/4サイズのB-8ターゲット。","",500,1,"nra_b8",1,1,23,5,20,2,53
53,"nra","5 yard Rapid Fire Precision Pistol","5yds (4.57m), 5 shots in 10 sec x 2 strings. Handgun only; any sights except laser pointers are allowed. Standing position, with the gun held in one hand only. Quarter-sized B-8 target. Aiming allowed before the start signal.","/docs/competition-rules/precision-pistol","5ヤード 速射10秒 Precision Pistol","5ヤード(4.57m), 5発/10秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。開始合図の前に照準可。1/4サイズのB-8ターゲット。","",500,1,"nra_b8",1,1,23,5,10,2,0
61,"nra_onestring","10 yard Slow Fire Precision Pistol","10yds (9.14m), 10 shots in 10 min. Handgun only; any sights except laser pointers are allowed. Standing position, with the gun held in one hand only. Quarter-sized B-6 target. Aiming allowed before the start signal.","/docs/competition-rules/precision-pistol","10ヤード 精密射撃 Precision Pistol","10ヤード(9.14m), 10発/10分。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。開始合図の前に照準可。1/4サイズのB-6ターゲット。","",1000,1,"nra_b6",1,1,23,10,600,1,62
62,"nra","10 yard Timed Fire Precision Pistol","10yds (9.14m), 5 shots in 20 sec x 2 strings. Handgun only; any sights except laser pointers are allowed. Standing position, with the gun held in one hand only. Quarter-sized B-8 target. Aiming allowed before the start signal.","/docs/competition-rules/precision-pistol","10ヤード 速射20秒 Precision Pistol","10ヤード(9.14m), 5発/20秒 x 2ストリング。立射片手撃ちハンドガンのみ。サイトはレーザーポインタ以外使用可能。開始合図の前に照準可。1/4サイズのB-8ターゲット。","",1000,1,"nra_b8",1,1,23,5,20,2,63
