_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,lowFps,generic,deleted
119,"ksc","Other Shotgun","","","その他のショットガン","","",4,2,true,true
120,"ksc","Other Shotgun","","","その他のショットガン","","",4,4,true,true
121,"ksc","Other SMG","","","その他のSMG","","",8,1,true,true
122,"ksc","Other SMG","","","その他のSMG","","",8,2,true,true
123,"ksc","Other SMG","","","その他のSMG","","",8,4,true,true

125,"tanaka","Other Pistol","","","その他のハンドガン","","",1,1,false,true
126,"tanaka","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
127,"tanaka","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
128,"tanaka","Other Rifle","","","その他のライフル","","",2,1,false,true
129,"tanaka","Other Rifle","","","その他のライフル","","",2,2,false,true
130,"tanaka","Other Rifle","","","その他のライフル","","",2,4,false,true
131,"tanaka","Other Shotgun","","","その他のショットガン","","",4,1,false,true
132,"tanaka","Other Shotgun","","","その他のショットガン","","",4,2,false,true
133,"tanaka","Other Shotgun","","","その他のショットガン","","",4,4,false,true
134,"tanaka","Other SMG","","","その他のSMG","","",8,1,false,true
135,"tanaka","Other SMG","","","その他のSMG","","",8,2,false,true
136,"tanaka","Other SMG","","","その他のSMG","","",8,4,false,true
137,"tanaka","Other Pistol","","","その他のハンドガン","","",1,1,true,true
138,"tanaka","Other Pistol","","","その他のハンドガン","","",1,2,true,true
139,"tanaka","Other Pistol","","","その他のハンドガン","","",1,4,true,true
140,"tanaka","Other Rifle","","","その他のライフル","","",2,1,true,true
141,"tanaka","Other Rifle","","","その他のライフル","","",2,2,true,true
142,"tanaka","Other Rifle","","","その他のライフル","","",2,4,true,true
143,"tanaka","Other Shotgun","","","その他のショットガン","","",4,1,true,true
144,"tanaka","Other Shotgun","","","その他のショットガン","","",4,2,true,true
145,"tanaka","Other Shotgun","","","その他のショットガン","","",4,4,true,true
146,"tanaka","Other SMG","","","その他のSMG","","",8,1,true,true
147,"tanaka","Other SMG","","","その他のSMG","","",8,2,true,true
148,"tanaka","Other SMG","","","その他のSMG","","",8,4,true,true

150,"vfc","Other Pistol","","","その他のハンドガン","","",1,1,false,true
151,"vfc","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
152,"vfc","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
153,"vfc","Other Rifle","","","その他のライフル","","",2,1,false,true
154,"vfc","Other Rifle","","","その他のライフル","","",2,2,false,true
155,"vfc","Other Rifle","","","その他のライフル","","",2,4,false,true
156,"vfc","Other Shotgun","","","その他のショットガン","","",4,1,false,true
157,"vfc","Other Shotgun","","","その他のショットガン","","",4,2,false,true
158,"vfc","Other Shotgun","","","その他のショットガン","","",4,4,false,true
159,"vfc","Other SMG","","","その他のSMG","","",8,1,false,true
160,"vfc","Other SMG","","","その他のSMG","","",8,2,false,true
161,"vfc","Other SMG","","","その他のSMG","","",8,4,false,true
162,"vfc","Other Pistol","","","その他のハンドガン","","",1,1,true,true
163,"vfc","Other Pistol","","","その他のハンドガン","","",1,2,true,true
164,"vfc","Other Pistol","","","その他のハンドガン","","",1,4,true,true
165,"vfc","Other Rifle","","","その他のライフル","","",2,1,true,true
166,"vfc","Other Rifle","","","その他のライフル","","",2,2,true,true
167,"vfc","Other Rifle","","","その他のライフル","","",2,4,true,true
168,"vfc","Other Shotgun","","","その他のショットガン","","",4,1,true,true
169,"vfc","Other Shotgun","","","その他のショットガン","","",4,2,true,true
170,"vfc","Other Shotgun","","","その他のショットガン","","",4,4,true,true
171,"vfc","Other SMG","","","その他のSMG","","",8,1,true,true
172,"vfc","Other SMG","","","その他のSMG","","",8,2,true,true
173,"vfc","Other SMG","","","その他のSMG","","",8,4,true,true

175,"g&g","Other Pistol","","","その他のハンドガン","","",1,1,false,true
176,"g&g","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
177,"g&g","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
178,"g&g","Other Rifle","","","その他のライフル","","",2,1,false,true
179,"g&g","Other Rifle","","","その他のライフル","","",2,2,false,true
180,"g&g","Other Rifle","","","その他のライフル","","",2,4,false,true
181,"g&g","Other Shotgun","","","その他のショットガン","","",4,1,false,true
182,"g&g","Other Shotgun","","","その他のショットガン","","",4,2,false,true
183,"g&g","Other Shotgun","","","その他のショットガン","","",4,4,false,true
184,"g&g","Other SMG","","","その他のSMG","","",8,1,false,true
185,"g&g","Other SMG","","","その他のSMG","","",8,2,false,true
186,"g&g","Other SMG","","","その他のSMG","","",8,4,false,true
187,"g&g","Other Pistol","","","その他のハンドガン","","",1,1,true,true
188,"g&g","Other Pistol","","","その他のハンドガン","","",1,2,true,true
189,"g&g","Other Pistol","","","その他のハンドガン","","",1,4,true,true
190,"g&g","Other Rifle","","","その他のライフル","","",2,1,true,true
191,"g&g","Other Rifle","","","その他のライフル","","",2,2,true,true
192,"g&g","Other Rifle","","","その他のライフル","","",2,4,true,true
193,"g&g","Other Shotgun","","","その他のショットガン","","",4,1,true,true
194,"g&g","Other Shotgun","","","その他のショットガン","","",4,2,true,true
195,"g&g","Other Shotgun","","","その他のショットガン","","",4,4,true,true
196,"g&g","Other SMG","","","その他のSMG","","",8,1,true,true
197,"g&g","Other SMG","","","その他のSMG","","",8,2,true,true
198,"g&g","Other SMG","","","その他のSMG","","",8,4,true,true

200,"hartford","Other Pistol","","","その他のハンドガン","","",1,1,false,true
201,"hartford","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
202,"hartford","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
203,"hartford","Other Rifle","","","その他のライフル","","",2,1,false,true
204,"hartford","Other Rifle","","","その他のライフル","","",2,2,false,true
205,"hartford","Other Rifle","","","その他のライフル","","",2,4,false,true
206,"hartford","Other Shotgun","","","その他のショットガン","","",4,1,false,true
207,"hartford","Other Shotgun","","","その他のショットガン","","",4,2,false,true
208,"hartford","Other Shotgun","","","その他のショットガン","","",4,4,false,true
209,"hartford","Other SMG","","","その他のSMG","","",8,1,false,true
210,"hartford","Other SMG","","","その他のSMG","","",8,2,false,true
211,"hartford","Other SMG","","","その他のSMG","","",8,4,false,true
212,"hartford","Other Pistol","","","その他のハンドガン","","",1,1,true,true
213,"hartford","Other Pistol","","","その他のハンドガン","","",1,2,true,true
214,"hartford","Other Pistol","","","その他のハンドガン","","",1,4,true,true
